ISO,Country,Region,VALUE
AGO,Angola,Africa,381008
ALB,Albania,Europe,132865
AND,Andorra,Europe,452
ARG,Argentina,Americas,770490
ARM,Armenia,Asia,15175
ATG,Antigua and Barbuda,Americas,551
AUS,Australia,Oceania,6284205
AZE,Azerbaijan,Asia,69815
BDI,Burundi,Africa,2706
BEL,Belgium,Europe,57896
BFA,Burkina Faso,Africa,5766
BGR,Bulgaria,Europe,1391
BHS,Bahamas,Americas,3878
BLR,Belarus,Europe,258582
BOL,Bolivia (Plurinational State of),Americas,2030
BRA,Brazil,Americas,2041662
BWA,Botswana,Africa,1123
CAF,Central African Republic,Africa,36685
CAN,Canada,Americas,58707
CHL,Chile,Americas,283595
CIV,Côte d’Ivoire,Africa,2568
CMR,Cameroon,Africa,220
COD,Democratic Republic of the Congo,Africa,960
COL,Colombia,Americas,2551769
CPV,Cabo Verde,Africa,387
CRI,Costa Rica,Americas,131670
CUB,Cuba,Americas,15465
CYP,Cyprus,Asia,2737
DNK,Denmark,Europe,26395
DOM,Dominican Republic,Americas,28046
DZA,Algeria,Africa,215803
ECU,Ecuador,Americas,87657
ESP,Spain,Europe,1188610
FIN,Finland,Europe,24277
FRA,France,Europe,43721
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,134073
GEO,Georgia,Asia,9249
GHA,Ghana,Africa,1471
GIN,Guinea,Africa,1680
GRC,Greece,Europe,1333593
GRD,Grenada,Americas,493
GTM,Guatemala,Americas,255561
GUY,Guyana,Americas,7125
HND,Honduras,Americas,121724
HRV,Croatia,Europe,28022
HUN,Hungary,Europe,4654
IRL,Ireland,Europe,7050
IRQ,Iraq,Asia,80100
ITA,Italy,Europe,116474
JAM,Jamaica,Americas,10674
JPN,Japan,Asia,110089
KAZ,Kazakhstan,Asia,69407
KEN,Kenya,Africa,277401
KGZ,Kyrgyzstan,Asia,219
KWT,Kuwait,Asia,3630
LBN,Lebanon,Asia,11628
LBY,Libya,Africa,7813
LCA,Saint Lucia,Americas,1074
LIE,Liechtenstein,Europe,805
LTU,Lithuania,Europe,52945
LUX,Luxembourg,Europe,19415
LVA,Latvia,Europe,35016
MAR,Morocco,Africa,56962
MDA,Republic of Moldova,Europe,28686
MDG,Madagascar,Africa,414
MEX,Mexico,Americas,3550879
MKD,North Macedonia,Europe,17028
MMR,Myanmar,Asia,100391
MNE,Montenegro,Europe,6072
MNG,Mongolia,Asia,225
MUS,Mauritius,Africa,110
NAM,Namibia,Africa,575
NER,Niger,Africa,213
NIC,Nicaragua,Americas,151794
NLD,Netherlands,Europe,175944
NOR,Norway,Europe,56980
NPL,Nepal,Asia,725
NZL,New Zealand,Oceania,7638
PAN,Panama,Americas,62576
PER,Peru,Americas,1069787
PHL,Philippines,Asia,4596
POL,Poland,Europe,17841
PRT,Portugal,Europe,718092
PRY,Paraguay,Americas,484
QAT,Qatar,Asia,29766
ROU,Romania,Europe,169529
RUS,Russian Federation,Europe,167172
RWA,Rwanda,Africa,255
SDN,Sudan,Africa,18975
SLV,El Salvador,Americas,187306
SRB,Serbia,Europe,130004
SUR,Suriname,Americas,760
SVK,Slovakia,Europe,21695
SVN,Slovenia,Europe,96910
SWE,Sweden,Europe,77154
SWZ,Eswatini,Africa,1006
TGO,Togo,Africa,1367
TJK,Tajikistan,Asia,16756
TTO,Trinidad and Tobago,Americas,3306
TUN,Tunisia,Africa,71966
TUR,Türkiye,Asia,76254
UGA,Uganda,Africa,53
UKR,Ukraine,Europe,41837
URY,Uruguay,Americas,46719
USA,United States of America,Americas,4893186
UZB,Uzbekistan,Asia,1090
